cod_entidad,cod_sector,Tipo de gasto,Entidad,Sector,Total
3304,33,Funcionamiento,Archivo general de la nación,Cultura,22656298248
3304,33,Inversión,Archivo general de la nación,Cultura,26018451619
3305,33,Funcionamiento,Instituto colombiano de antropología e historia,Cultura,27791477220
3305,33,Inversión,Instituto colombiano de antropología e historia,Cultura,21743757939
3307,33,Funcionamiento,Instituto caro y cuervo,Cultura,17412998750
3307,33,Inversión,Instituto caro y cuervo,Cultura,13902214000
3401,34,Funcionamiento,Auditoría general de la republica,Organismos de control,67029000000
3401,34,Inversión,Auditoría general de la republica,Organismos de control,13000000000
3501,35,Funcionamiento,"Ministerio de comercio, industria y turismo","Comercio, industria y turismo",1137377215958
3501,35,Inversión,"Ministerio de comercio, industria y turismo","Comercio, industria y turismo",141203598339
3502,35,Funcionamiento,Superintendencia de sociedades,"Comercio, industria y turismo",217517057159
3502,35,Inversión,Superintendencia de sociedades,"Comercio, industria y turismo",34550000000
3503,35,Funcionamiento,Superintendencia de industria y comercio,"Comercio, industria y turismo",232680161575
3503,35,Inversión,Superintendencia de industria y comercio,"Comercio, industria y turismo",125318180368
3504,35,Funcionamiento,Unidad administrativa especial junta central contadores,"Comercio, industria y turismo",17036291000
3504,35,Inversión,Unidad administrativa especial junta central contadores,"Comercio, industria y turismo",14888902025
3505,35,Funcionamiento,Instituto nacional de metrología - inm,"Comercio, industria y turismo",24546674148
3505,35,Inversión,Instituto nacional de metrología - inm,"Comercio, industria y turismo",14729045107
3601,36,Funcionamiento,Ministerio del trabajo,Trabajo,51690693000000
3601,36,Inversión,Ministerio del trabajo,Trabajo,622749157049
3602,36,Funcionamiento,Servicio nacional de aprendizaje (sena),Trabajo,152402000000
3602,36,Inversión,Servicio nacional de aprendizaje (sena),Trabajo,8361097587411
3612,36,Funcionamiento,Unidad administrativa especial de organizaciones solidarias,Trabajo,11121000000
3612,36,Inversión,Unidad administrativa especial de organizaciones solidarias,Trabajo,44458557030
3613,36,Funcionamiento,Unidad administrativa especial del servicio público de empleo,Trabajo,16496000000
3613,36,Inversión,Unidad administrativa especial del servicio público de empleo,Trabajo,16099690804
3701,37,Funcionamiento,Ministerio del interior,Interior,1094693000000
3701,37,Inversión,Ministerio del interior,Interior,209577245112
3703,37,Funcionamiento,Dirección nacional del derecho de autor,Interior,6386000000
3703,37,Inversión,Dirección nacional del derecho de autor,Interior,2430671401
3704,37,Funcionamiento,Corporación nacional para la reconstrucción de la cuenca del rio páez y zonas aledañas nasa ki we,Interior,4755000000
3704,37,Inversión,Corporación nacional para la reconstrucción de la cuenca del rio páez y zonas aledañas nasa ki we,Interior,17000000000
3708,37,Funcionamiento,Unidad nacional de protección - unp,Interior,2894294000000
3708,37,Deuda,Unidad nacional de protección - unp,Interior,3610711702
3708,37,Inversión,Unidad nacional de protección - unp,Interior,4000000000
3709,37,Funcionamiento,Dirección nacional de bomberos,Interior,9108000000
3709,37,Inversión,Dirección nacional de bomberos,Interior,168972581970
3801,38,Funcionamiento,Comisión nacional del servicio civil,Empleo público,40383380547
3801,38,Inversión,Comisión nacional del servicio civil,Empleo público,138619492766
3901,39,Funcionamiento,"Ministerio de ciencia, tecnología e innovación","Ciencia, tecnología e innovación",30391191000
3901,39,Inversión,"Ministerio de ciencia, tecnología e innovación","Ciencia, tecnología e innovación",326648315766
4001,40,Funcionamiento,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",5101107326274
4001,40,Inversión,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",1549923149545
4002,40,Funcionamiento,Fondo nacional de vivienda - fonvivienda,"Vivienda, ciudad y territorio",4610000000
4002,40,Inversión,Fondo nacional de vivienda - fonvivienda,"Vivienda, ciudad y territorio",704796888012
4101,41,Funcionamiento,Departamento administrativo para la prosperidad social,Inclusión social y reconciliación,326951000000
4101,41,Inversión,Departamento administrativo para la prosperidad social,Inclusión social y reconciliación,9621697602549
