ENTIDAD,CONCEPTO,NACION,PROPIOS,TOTAL,Tipo de gasto,Código de entidad,Código de sector,Sector,TOTAL %
Club militar de oficiales,Gastos comerc. y produccion,0.0,18996.3,18996.3,Funcionamiento,1510,15,Defensa y policía,0.0035935099402402528
Club militar de oficiales,Gastos de personal,0.0,19592.2,19592.2,Funcionamiento,1510,15,Defensa y policía,0.0037062357117530823
Club militar de oficiales,Inversion,0.0,0.0,0.0,Inversion,1510,15,Defensa y policía,0.0
Club militar de oficiales,Servicio de la deuda,0.0,0.0,0.0,Servicio de la deuda,1510,15,Defensa y policía,0.0
Club militar de oficiales,Transferencias,0.0,14555.9,14555.9,Funcionamiento,1510,15,Defensa y policía,0.002753524177821107
Club militar de oficiales,"Tributos, multas, sanciones, interés",0.0,1238.1,1238.1,Funcionamiento,1510,15,Defensa y policía,0.00023421006496062165
Comisión de regulación de infraestructura y transporte,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,2415,24,Transporte,0.0
Comisión de regulación de infraestructura y transporte,Adquisición de bienes y servicios,0.0,0.0,0.0,Funcionamiento,2415,24,Transporte,0.0
Comisión de regulación de infraestructura y transporte,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,2415,24,Transporte,0.0
Comisión de regulación de infraestructura y transporte,Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,2415,24,Transporte,0.0
Comisión de regulación de infraestructura y transporte,Gastos de personal,1407.2,0.0,1407.2,Funcionamiento,2415,24,Transporte,0.00026619853276196333
Comisión de regulación de infraestructura y transporte,Inversion,0.0,0.0,0.0,Inversion,2415,24,Transporte,0.0
Comisión de regulación de infraestructura y transporte,Servicio de la deuda,0.0,0.0,0.0,Servicio de la deuda,2415,24,Transporte,0.0
Comisión de regulación de infraestructura y transporte,Transferencias,0.0,0.0,0.0,Funcionamiento,2415,24,Transporte,0.0
Comisión de regulación de infraestructura y transporte,"Tributos, multas, sanciones, interés",0.0,0.0,0.0,Funcionamiento,2415,24,Transporte,0.0
Comisión nacional del servicio civil,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,3801,5,Empleo público,0.0
