Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,Año,apropiacion_corrientes,Apropiación a precios corrientes
Presidencia de la república,2,Agencia para la reincorporación y la normalización - arn,212,Funcionamiento,2025,88859084174.0,88859084174.0
Presidencia de la república,2,Agencia para la reincorporación y la normalización - arn,212,Inversión,2025,2200000000.0,2200000000.0
Presidencia de la república,2,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",209,Funcionamiento,2025,48822000000.0,48822000000.0
Presidencia de la república,2,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",209,Inversión,2025,102440560000.0,102440560000.0
Presidencia de la república,2,Presidencia de la república,201,Funcionamiento,2025,452841786933.0,452841786933.0
Presidencia de la república,2,Presidencia de la república,201,Inversión,2025,168668164194.0,168668164194.0
Presidencia de la república,2,Unidad nacional para la gestión del riesgo de desastres,211,Funcionamiento,2025,707832000000.0,707832000000.0
Presidencia de la república,2,Unidad nacional para la gestión del riesgo de desastres,211,Inversión,2025,17000000000.0,17000000000.0
Rama judicial,27,Rama judicial,2701,Funcionamiento,2025,9097188000000.0,9097188000000.0
Rama judicial,27,Rama judicial,2701,Deuda,2025,17695578134.0,17695578134.0
Rama judicial,27,Rama judicial,2701,Inversión,2025,1300000000000.0,1300000000000.0
Registraduría,28,Consejo nacional electoral,2804,Funcionamiento,2025,1056216131936.0,1056216131936.0
Registraduría,28,Consejo nacional electoral,2804,Inversión,2025,10646765998.0,10646765998.0
Registraduría,28,Fondo rotatorio de la registraduría,2802,Funcionamiento,2025,92500584478.0,92500584478.0
Registraduría,28,Fondo rotatorio de la registraduría,2802,Inversión,2025,171718456809.0,171718456809.0
Registraduría,28,Fondo social de vivienda de la registraduría nacional del estado civil,2803,Funcionamiento,2025,14685380447.0,14685380447.0
Registraduría,28,Registraduría nacional del estado civil,2801,Funcionamiento,2025,3088135443035.0,3088135443035.0
Registraduría,28,Registraduría nacional del estado civil,2801,Inversión,2025,158698049298.0,158698049298.0
Relaciones exteriores,11,Fondo rotatorio del ministerio de relaciones exteriores,1102,Funcionamiento,2025,880003000000.0,880003000000.0
Relaciones exteriores,11,Fondo rotatorio del ministerio de relaciones exteriores,1102,Inversión,2025,142749930347.0,142749930347.0
Relaciones exteriores,11,Ministerio de relaciones exteriores,1101,Funcionamiento,2025,768975000000.0,768975000000.0
Relaciones exteriores,11,Unidad administrativa especial migración colombia,1104,Funcionamiento,2025,252961000000.0,252961000000.0
