Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,apropiacion_corrientes,Apropiación a precios corrientes,IPC,apropiacion_cons_2025,Apropiación a precios constantes (2025)
2013,Transporte,24,Unidad administrativa especial de la aeronáutica civil,2412,Funcionamiento,251504300000.0,251504300000.0,53.263251141718804,472191040931.42285,472191040931.42285
2013,Transporte,24,Unidad administrativa especial de la aeronáutica civil,2412,Deuda,1212600000.0,1212600000.0,53.263251141718804,2276616567.7224736,2276616567.7224736
2013,Transporte,24,Unidad administrativa especial de la aeronáutica civil,2412,Inversión,454754397562.0,454754397562.0,53.263251141718804,853786405850.488,853786405850.488
2013,Transporte,24,Agencia nacional de infraestructura,2413,Funcionamiento,79156720000.0,79156720000.0,53.263251141718804,148614135080.46255,148614135080.46255
2013,Transporte,24,Agencia nacional de infraestructura,2413,Deuda,296770295000.0,296770295000.0,53.263251141718804,557176455883.9568,557176455883.9568
2013,Transporte,24,Agencia nacional de infraestructura,2413,Inversión,2818364111869.0,2818364111869.0,53.263251141718804,5291385808143.989,5291385808143.989
2013,Organismos de control,25,Procuraduría general de la nación,2501,Funcionamiento,426007000000.0,426007000000.0,53.263251141718804,799814113611.8654,799814113611.8654
2013,Organismos de control,25,Procuraduría general de la nación,2501,Inversión,34352000000.0,34352000000.0,53.263251141718804,64494748750.1257,64494748750.1257
2013,Organismos de control,25,Defensoría del pueblo,2502,Funcionamiento,302406000000.0,302406000000.0,53.263251141718804,567757306431.3726,567757306431.3726
2013,Organismos de control,25,Defensoría del pueblo,2502,Inversión,15382000000.0,15382000000.0,53.263251141718804,28879198453.49422,28879198453.49422
2013,Organismos de control,25,Contraloría general de la república,2601,Funcionamiento,386614000000.0,386614000000.0,53.263251141718804,725855053367.5215,725855053367.5215
2013,Organismos de control,25,Contraloría general de la república,2601,Inversión,70071000000.0,70071000000.0,53.263251141718804,131555994983.40877,131555994983.40877
2013,Organismos de control,25,Fondo de bienestar social de la contraloría general de la república,2602,Funcionamiento,52864000000.0,52864000000.0,53.263251141718804,99250419129.21066,99250419129.21066
2013,Organismos de control,25,Fondo de bienestar social de la contraloría general de la república,2602,Inversión,6200000000.0,6200000000.0,53.263251141718804,11640295827.048769,11640295827.048769
2013,Rama judicial,27,Rama judicial,2701,Funcionamiento,2342136081106.0,2342136081106.0,53.263251141718804,4397283363109.4404,4397283363109.4404
2013,Rama judicial,27,Rama judicial,2701,Inversión,331910058937.0,331910058937.0,53.263251141718804,623150205483.8503,623150205483.8503
2013,Registraduría,28,Registraduría nacional del estado civil,2801,Funcionamiento,345766000000.0,345766000000.0,53.263251141718804,649164278537.9589,649164278537.9589
2013,Registraduría,28,Registraduría nacional del estado civil,2801,Inversión,46489944685.0,46489944685.0,53.263251141718804,87283340180.08607,87283340180.08607
2013,Registraduría,28,Fondo rotatorio de la registraduría,2802,Funcionamiento,16878000000.0,16878000000.0,53.263251141718804,31687889188.536957,31687889188.536957
2013,Registraduría,28,Fondo rotatorio de la registraduría,2802,Inversión,29459000000.0,29459000000.0,53.263251141718804,55308302382.10156,55308302382.10156
2013,Registraduría,28,Fondo social de vivienda de la registraduría nacional del estado civil,2803,Funcionamiento,9513000000.0,9513000000.0,53.263251141718804,17860344226.244347,17860344226.244347
2013,Fiscalía,29,Fiscalía general de la nación,2901,Funcionamiento,1905322069125.0,1905322069125.0,53.263251141718804,3577179440390.2686,3577179440390.2686
