Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,apropiacion_corrientes,apropiacion_cons_2024,Apropiación a precios corrientes en millones,Apropiación a precios constantes (2024) en millones
2013,Rama judicial,27,Rama judicial,2701,Funcionamiento,2342136081106,4132722371427.525,2342136.08,4132722.37
2013,Rama judicial,27,Rama judicial,2701,Inversion,331910058937,585658594706.0043,331910.06,585658.59
2013,Registraduría,28,Registraduría nacional del estado civil,2801,Funcionamiento,345766000000,610107540294.6829,345766.0,610107.54
2013,Registraduría,28,Registraduría nacional del estado civil,2801,Inversion,46489944685,82031969020.09224,46489.94,82031.97
2013,Registraduría,28,Fondo rotatorio de la registraduría,2802,Funcionamiento,16878000000,29781398590.64702,16878.0,29781.4
2013,Registraduría,28,Fondo rotatorio de la registraduría,2802,Inversion,29459000000,51980698014.09352,29459.0,51980.7
2013,Registraduría,28,Fondo social de vivienda de la registraduría nacional del estado civil,2803,Funcionamiento,9513000000,16785782959.64125,9513.0,16785.78
2013,Fiscalía,29,Fiscalía general de la nación,2901,Funcionamiento,1905322069125,3361959709928.187,1905322.07,3361959.71
2013,Fiscalía,29,Fiscalía general de la nación,2901,Inversion,143935072868,253974865283.5485,143935.07,253974.87
2013,Fiscalía,29,Instituto nacional de medicina legal y ciencias forenses,2902,Funcionamiento,136805310246,241394328341.8209,136805.31,241394.33
2013,Fiscalía,29,Instituto nacional de medicina legal y ciencias forenses,2902,Inversion,36330000000,64104645739.91031,36330.0,64104.65
2013,Ambiente y desarrollo sostenible,32,Ministerio de ambiente y desarrollo sostenible,3201,Funcionamiento,133450392000,235474541783.9846,133450.39,235474.54
2013,Ambiente y desarrollo sostenible,32,Ministerio de ambiente y desarrollo sostenible,3201,Inversion,140576000000,248047747853.9398,140576.0,248047.75
2013,Ambiente y desarrollo sostenible,32,"Instituto de hidrología, meteorología y estudios ambientales - ideam",3202,Funcionamiento,38264100000,67517384394.61883,38264.1,67517.38
2013,Ambiente y desarrollo sostenible,32,"Instituto de hidrología, meteorología y estudios ambientales - ideam",3202,Inversion,22550000000,39789698910.95451,22550.0,39789.7
2013,Ambiente y desarrollo sostenible,32,Fondo nacional ambiental,3204,Funcionamiento,19735290000,34823115167.20051,19735.29,34823.12
2013,Ambiente y desarrollo sostenible,32,Fondo nacional ambiental,3204,Inversion,35760000000,63098875080.07687,35760.0,63098.88
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de los valles del sinú y san jorge (cvs),3208,Funcionamiento,2351270000,4148839262.011529,2351.27,4148.84
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del quindío (crq),3209,Funcionamiento,3930300000,6935053376.040998,3930.3,6935.05
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del urabá (corpourabá),3210,Funcionamiento,2618525000,4620413363.228699,2618.52,4620.41
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del urabá (corpourabá),3210,Inversion,1000000000,1764509929.532351,1000.0,1764.51
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de caldas (corpocaldas),3211,Funcionamiento,2662415000,4697857704.035873,2662.42,4697.86
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional para el desarrollo sostenible del choco (codechoco),3212,Funcionamiento,1467200000,2588888968.609865,1467.2,2588.89
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional para el desarrollo sostenible del choco (codechoco),3212,Inversion,657000000,1159283023.702754,657.0,1159.28
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del tolima (cortolima),3214,Funcionamiento,1506500000,2658234208.840487,1506.5,2658.23
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de risaralda (carder),3215,Funcionamiento,1914693000,3378494810.506085,1914.69,3378.49
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de nariño (corponariño),3216,Funcionamiento,1831900000,3232405739.910314,1831.9,3232.41
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de la frontera nororiental (corponor),3217,Funcionamiento,2620340000,4623615948.7508,2620.34,4623.62
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de la guajira (corpoguajira),3218,Funcionamiento,2782340000,4909466557.335041,2782.34,4909.47
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del cesar (corpocesar),3219,Funcionamiento,2064166000,3642241403.203074,2064.17,3642.24
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del cauca (crc),3221,Funcionamiento,5063400000,8934419577.194105,5063.4,8934.42
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del magdalena (corpamag),3222,Funcionamiento,3463235000,6110912545.803971,3463.24,6110.91
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del magdalena (corpamag),3222,Inversion,17000000000,29996668802.04996,17000.0,29996.67
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del sur de la amazonia (corpoamazonia),3223,Funcionamiento,1732200000,3056484099.935938,1732.2,3056.48
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del sur de la amazonia (corpoamazonia),3223,Inversion,250000000,441127482.3830877,250.0,441.13
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del norte y oriente de la amazonia (cda),3224,Funcionamiento,1710100000,3017488430.493273,1710.1,3017.49
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del norte y oriente de la amazonia (cda),3224,Inversion,450000000,794029468.2895579,450.0,794.03
2013,Ambiente y desarrollo sostenible,32,"Corporación para el desarrollo sostenible del archipiélago de san andrés, providencia y santa catalina (coralina)",3226,Funcionamiento,1679900000,2964200230.621396,1679.9,2964.2
2013,Ambiente y desarrollo sostenible,32,"Corporación para el desarrollo sostenible del archipiélago de san andrés, providencia y santa catalina (coralina)",3226,Inversion,1200000000,2117411915.438821,1200.0,2117.41
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del área de manejo especial la macarena (cormacarena),3227,Funcionamiento,1846440000,3258061714.285714,1846.44,3258.06
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del área de manejo especial la macarena (cormacarena),3227,Inversion,500000000,882254964.7661754,500.0,882.25
